draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
7	30	Sovereign's_Bite	1	1	1	1
7	31	Scholar_of_Stars	1	0	0	0
7	32	Lena_Selfless_Champion	0	1	1	1
7	33	Gallant_Cavalry	0	0	0	1
7	34	Boggart_Brute	0	0	0	1
7	35	Daybreak_Chaplain	0	0	0	1
7	36	Pegasus_Courser	0	0	1	1
7	37	Invoke_the_Divine	0	0	0	0
7	38	Onakke_Ogre	0	0	0	1
7	39	Viashino_Pyromancer	1	0	0	1
7	40	Oreskos_Swiftclaw	0	1	1	1
7	41	Knight's_Pledge	1	0	0	1
7	42	Infernal_Scarring	0	1	0	1
7	43	Highland_Game	0	0	0	0
7	44	Plummet	1	1	1	1
7	45	Swamp_4	1	1	1	1
8	1	Lich's_Caress	0	0	1	1
8	2	Strangling_Spores	0	0	1	1
8	3	Regal_Bloodlord	0	1	1	1
8	4	Plague_Mare	0	1	1	1
8	5	Ravenous_Harpy	0	1	1	1
8	6	Epicure_of_Blood	0	0	1	0
8	7	Knight_of_the_Tusk	0	0	0	0
8	8	Invoke_the_Divine	0	0	0	0
8	9	Two-Headed_Zombie	1	1	1	0
8	10	Revitalize	1	0	0	1
8	11	Manalith	0	0	0	0
8	12	Highland_Lake	1	1	0	0
8	13	Talons_of_Wildwood	0	1	1	1
8	14	Root_Snare	0	1	1	1
8	15	Wall_of_Vines	1	1	1	1
8	16	Lich's_Caress	0	0	0	1
8	17	Star-Crowned_Stag	0	0	0	1
8	18	Diamond_Mare	0	1	1	0
8	19	Vampire_Neonate	0	0	0	0
8	20	Leonin_Vanguard	0	1	0	0
8	21	Gallant_Cavalry	0	0	0	1
8	22	Revitalize	1	0	0	0
8	23	Forsaken_Sanctuary	0	0	1	1
8	24	Take_Vengeance	0	0	1	1
8	25	Dwarven_Priest	0	1	1	1
8	26	Daybreak_Chaplain	0	0	1	1
8	27	Catalyst_Elemental	1	0	1	0
8	28	Inspired_Charge	1	1	0	0
8	29	Revitalize	0	1	1	1
8	30	Tolarian_Scholar	1	1	1	1
8	31	Arcane_Encyclopedia	0	0	0	0
8	32	Lich's_Caress	0	0	0	1
8	33	Child_of_Night	0	0	0	1
8	34	Skymarch_Bloodletter	0	0	1	1
8	35	Epicure_of_Blood	0	0	0	1
8	36	Revitalize	0	0	0	0
8	37	Knight_of_the_Tusk	0	0	0	1
8	38	Hired_Blade	0	0	0	1
8	39	Millstone	0	1	0	0
8	40	Blood_Divination	0	1	1	1
8	41	Invoke_the_Divine	0	1	0	1
