human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
Magistrate's_Scepter	0.25	1.0	0.1875	0.40625
Make_a_Stand	0.16326530612244897	0.6122448979591837	0.20408163265306123	0.32653061224489793
Manalith	0.14285714285714285	0.11160714285714286	0.17410714285714285	0.33482142857142855
Marauder's_Axe	0.09859154929577464	0.028169014084507043	0.18309859154929578	0.18309859154929578
Meandering_River	0.1927710843373494	0.26506024096385544	0.5301204819277109	0.39759036144578314
Mentor_of_the_Meek	0.029411764705882353	1.0	0.7352941176470589	0.7941176470588235
Metamorphic_Alteration	0.09090909090909091	1.0	0.36363636363636365	0.4090909090909091
Meteor_Golem	0.022727272727272728	0.29545454545454547	0.29545454545454547	0.75
Mighty_Leap	0.189873417721519	0.21518987341772153	0.3291139240506329	0.35443037974683544
Militia_Bugler	0.13513513513513514	0.5135135135135135	0.3783783783783784	0.7027027027027027
Millstone	0.13636363636363635	0.7121212121212122	0.12121212121212122	0.3787878787878788
Mind_Rot	0.20567375886524822	0.3404255319148936	0.3900709219858156	0.45390070921985815
Mirror_Image	0.10869565217391304	0.6086956521739131	0.3695652173913043	0.43478260869565216
Mistcaller	0.42105263157894735	1.0	0.2631578947368421	0.42105263157894735
Mountain_1	0.9032258064516129	0.9032258064516129	0.8064516129032258	0.8064516129032258
Mountain_2	0.9242424242424242	0.9696969696969697	0.8636363636363636	0.8636363636363636
Mountain_3	0.8679245283018868	0.9433962264150944	0.8490566037735849	0.8490566037735849
Mountain_4	0.9361702127659575	0.9787234042553191	0.8723404255319149	0.8723404255319149
Murder	0.06779661016949153	0.3220338983050847	0.8305084745762712	0.7796610169491526
Mystic_Archaeologist	0.125	1.0	0.875	0.7083333333333334
Naturalize	0.336734693877551	0.5408163265306123	0.46938775510204084	0.5459183673469388
Nicol_Bolas_the_Ravager	0.0	1.0	0.8461538461538461	0.8461538461538461
Nightmare's_Thirst	0.12903225806451613	0.5161290322580645	0.41935483870967744	0.45161290322580644
Novice_Knight	0.12280701754385964	0.7543859649122807	0.24561403508771928	0.3508771929824561
Oakenform	0.3	0.3357142857142857	0.55	0.38571428571428573
Omenspeaker	0.13705583756345177	0.17258883248730963	0.38578680203045684	0.4467005076142132
Omniscience	0.4166666666666667	1.0	0.20833333333333334	0.3333333333333333
Onakke_Ogre	0.2	0.30344827586206896	0.31724137931034485	0.3931034482758621
One_with_the_Machine	0.16666666666666666	1.0	0.25	0.08333333333333333
Open_the_Graves	0.13333333333333333	1.0	0.4	0.7333333333333333
Oreskos_Swiftclaw	0.20967741935483872	0.28225806451612906	0.3467741935483871	0.4112903225806452
Palladia-Mors_the_Ruiner	0.0	1.0	0.8888888888888888	0.6666666666666666
Patient_Rebuilding	0.0	1.0	0.9	0.55
Pegasus_Courser	0.04838709677419355	0.06451612903225806	0.4596774193548387	0.5241935483870968
Pelakka_Wurm	0.0	1.0	0.5416666666666666	0.625
Phylactery_Lich	0.08695652173913043	1.0	0.2608695652173913	0.30434782608695654
Plague_Mare	0.07692307692307693	0.3076923076923077	0.46153846153846156	0.6410256410256411
Plains_1	0.9038461538461539	0.8653846153846154	0.7884615384615384	0.7884615384615384
Plains_2	0.88	0.92	0.82	0.82
Plains_3	0.9090909090909091	0.9454545454545454	0.9090909090909091	0.9090909090909091
Plains_4	0.9047619047619048	0.9365079365079365	0.873015873015873	0.873015873015873
Plummet	0.30120481927710846	0.463855421686747	0.39759036144578314	0.4879518072289157
Poison-Tip_Archer	0.1368421052631579	0.6105263157894737	0.4	0.37894736842105264
Prodigious_Growth	0.0	1.0	0.7142857142857143	0.7142857142857143
Psychic_Corrosion	0.12857142857142856	0.6714285714285714	0.2571428571428571	0.2571428571428571
