name,avg,var,count,color,rarity,legendary,x,y,freq
clear_the_mind,11.92359753346368,5.318572348774183,6649,U,common,0,0.08231139476796367,-0.2895020087431924,30083
code_of_constraint,4.3413516609392895,5.500890269232638,1746,U,uncommon,0,0.047404509756039284,-0.5597319828177342,6028
coral_commando,10.59648265754763,7.3745455178966015,4094,U,common,0,0.16079996346767275,-0.40165244620406176,17753
essence_capture,2.4365436543654364,1.9021389087603628,1111,U,uncommon,0,0.16956558980645298,-0.5413009469278679,4895
eyes_everywhere,3.539305301645338,4.754853630739717,1094,U,uncommon,0,0.08291480917152681,-0.515147597929458,3991
faerie_duelist,7.000502638853983,8.920582808424804,7958,U,common,0,0.04136895322414123,-0.55163800709038,27334
gateway_sneak,4.657988935893264,6.935094816668994,3073,U,uncommon,0,0.029623203710455417,-0.5223796293714138,9147
humongulus,7.96630405943221,9.885041288285459,3769,U,common,0,0.1098784619511816,-0.5044730114768324,14311
mass_manipulation,1.0073684210526315,0.007314127423822711,950,U,rare,0,0.057384283643516706,-0.5150376193391843,3034
mesmerizing_benthid,1.001303780964798,0.0013020811199937444,767,U,mythic,0,0.12463141875333643,-0.45647842664226146,2443
persistent_petitioners,9.734230891550938,13.126970936618063,9433,U,common,0,0.0149617652629512,-0.3863492632513524,35967
precognitive_perception,1.01875,0.022565104166666673,960,U,rare,0,0.0027933503079436337,-0.5309581236380465,3366
prying_eyes,10.984590647192817,7.433368340402946,7463,U,common,0,0.09595741626296585,-0.35162776487008973,32446
pteramander,6.312910284463895,10.202204979158664,5941,U,uncommon,0,0.20490918219427642,-0.4434722511016501,18046
quench,6.187147924055915,8.710437786797797,4793,U,common,0,0.09786226708130362,-0.5511319962045003,17034
sage's_row_savant,8.46456229781394,9.615472921346903,10201,U,common,0,0.15336406755856277,-0.5008740542480311,34161
senate_courier,10.12323873784481,9.888827560454793,15117,U,common,0,-0.10437285839710442,-0.4785950139504311,51304
shimmer_of_possibility,9.66163303487906,9.393993698291293,7483,U,common,0,0.07648771855389888,-0.4296978246381073,28077
skatewing_spy,3.190157958687728,4.008189889994375,3292,U,uncommon,0,0.272435050939911,-0.4739686517190889,10219
skitter_eel,6.045020920502092,8.010190689938902,5975,U,common,0,0.25213250753749217,-0.49586627740362366,20130
slimebind,8.345534729878722,9.934409499069467,9070,U,common,0,0.18611607674337374,-0.48364787486930155,30986
sphinx_of_foresight,1.02200488997555,0.032523119780489114,1636,U,rare,0,-0.024736130172978946,-0.5418846537286964,5144
swirling_torrent,4.226234003656307,5.4017432212934775,2188,U,uncommon,0,0.14005234852602155,-0.5348485961251161,7473
thought_collapse,7.989950550327006,10.778173055458701,6269,U,common,0,0.07018984126653612,-0.4792635436094738,24649
verity_circle,2.427536231884058,3.396922915353917,828,U,rare,0,0.008576413661615575,-0.46810227434960794,2865
