human_pick	RandomBot	RaredratBot	ClassicBot
Open_the_Graves	0.1111111111111111	1.0	0.6111111111111112
Oreskos_Swiftclaw	0.18666666666666668	0.37333333333333335	0.4066666666666667
Palladia-Mors_the_Ruiner	0.0	1.0	0.9285714285714286
Patient_Rebuilding	0.0625	1.0	0.8125
Pegasus_Courser	0.09565217391304348	0.06956521739130435	0.391304347826087
Pelakka_Wurm	0.038461538461538464	1.0	0.9230769230769231
Phylactery_Lich	0.07692307692307693	1.0	0.0
Plague_Mare	0.06451612903225806	0.45161290322580644	0.6451612903225806
Plains_1	0.9285714285714286	0.9047619047619048	0.8571428571428571
Plains_2	0.868421052631579	0.9473684210526315	0.868421052631579
Plains_3	0.9361702127659575	0.9361702127659575	0.9361702127659575
Plains_4	0.925	0.925	0.85
Plummet	0.32211538461538464	0.4807692307692308	0.47596153846153844
Poison-Tip_Archer	0.1935483870967742	0.6559139784946236	0.5376344086021505
Prodigious_Growth	0.0	1.0	0.8125
Psychic_Corrosion	0.1346153846153846	0.6346153846153846	0.28846153846153844
Psychic_Symbiont	0.15306122448979592	0.6938775510204082	0.45918367346938777
Rabid_Bite	0.06896551724137931	0.011494252873563218	0.4942528735632184
Ravenous_Harpy	0.125	0.425	0.525
Reassembling_Skeleton	0.15151515151515152	0.6363636363636364	0.42424242424242425
Reclamation_Sage	0.15217391304347827	0.7065217391304348	0.7065217391304348
Recollect	0.2391304347826087	0.7391304347826086	0.3695652173913043
Regal_Bloodlord	0.12048192771084337	0.5421686746987951	0.5180722891566265
Reliquary_Tower	0.35	0.9	0.3125
Remorseful_Cleric	0.10526315789473684	1.0	0.3157894736842105
Resplendent_Angel	0.06666666666666667	1.0	0.8
Revitalize	0.27848101265822783	0.5316455696202531	0.4177215189873418
Rhox_Oracle	0.15492957746478872	0.215962441314554	0.5446009389671361
Rise_from_the_Grave	0.0425531914893617	0.6170212765957447	0.3829787234042553
Rogue's_Gloves	0.11363636363636363	0.5681818181818182	0.11363636363636363
Root_Snare	0.41025641025641024	0.688034188034188	0.5897435897435898
Runic_Armasaur	0.13333333333333333	1.0	0.4
Rupture_Spire	0.09836065573770492	0.5081967213114754	0.19672131147540983
Rustwing_Falcon	0.2485207100591716	0.39644970414201186	0.3136094674556213
Sai_Master_Thopterist	0.125	1.0	0.5625
Salvager_of_Secrets	0.14150943396226415	0.2169811320754717	0.5849056603773585
Sarkhan's_Unsealing	0.0	1.0	1.0
Sarkhan_Fireblood	0.0	1.0	0.6666666666666666
Satyr_Enchanter	0.27906976744186046	0.8372093023255814	0.627906976744186
Scapeshift	0.3333333333333333	1.0	0.16666666666666666
Scholar_of_Stars	0.13333333333333333	0.3333333333333333	0.3
Shield_Mare	0.14285714285714285	0.5476190476190477	0.21428571428571427
Shock	0.046296296296296294	0.009259259259259259	0.4444444444444444
Siegebreaker_Giant	0.058823529411764705	0.5	0.38235294117647056
Sift	0.125	0.53125	0.375
Sigiled_Sword_of_Valeron	0.03571428571428571	1.0	0.8928571428571429
Skeleton_Archer	0.12030075187969924	0.13533834586466165	0.3533834586466165
Skilled_Animator	0.14583333333333334	0.5625	0.5416666666666666
Skymarch_Bloodletter	0.09289617486338798	0.0546448087431694	0.37158469945355194
Skyrider_Patrol	0.12295081967213115	0.5901639344262295	0.5983606557377049
Skyscanner	0.09195402298850575	0.017241379310344827	0.3793103448275862
Sleep	0.08333333333333333	0.5	0.6041666666666666
Smelt	0.39097744360902253	0.6466165413533834	0.48120300751879697
Snapping_Drake	0.13793103448275862	0.13793103448275862	0.3505747126436782
Sovereign's_Bite	0.4090909090909091	0.538961038961039	0.35064935064935066
Sparktongue_Dragon	0.11016949152542373	0.09322033898305085	0.4491525423728814
Spit_Flame	0.0	1.0	0.7777777777777778
Star-Crowned_Stag	0.06481481481481481	0.018518518518518517	0.4444444444444444
Stitcher's_Supplier	0.22916666666666666	0.7708333333333334	0.2916666666666667
Stone_Quarry	0.3382352941176471	0.38235294117647056	0.38235294117647056
Strangling_Spores	0.1509433962264151	0.031446540880503145	0.39622641509433965
Submerged_Boneyard	0.32608695652173914	0.3804347826086957	0.6086956521739131
Suncleanser	0.03571428571428571	1.0	0.14285714285714285
Supreme_Phantom	0.15789473684210525	1.0	0.07894736842105263
Sure_Strike	0.17	0.22	0.38
Surge_Mare	0.05128205128205128	0.5641025641025641	0.48717948717948717
Suspicious_Bookcase	0.23076923076923078	0.4230769230769231	0.07692307692307693
Swamp_1	0.9074074074074074	0.9444444444444444	0.8888888888888888
Swamp_2	0.9615384615384616	0.9807692307692307	0.9038461538461539
Swamp_3	0.9230769230769231	0.9423076923076923	0.9038461538461539
Swamp_4	0.9245283018867925	0.9433962264150944	0.8301886792452831
Switcheroo	0.05128205128205128	0.48717948717948717	0.38461538461538464
Take_Vengeance	0.08163265306122448	0.013605442176870748	0.19727891156462585
Talons_of_Wildwood	0.25675675675675674	0.3918918918918919	0.49099099099099097
Tectonic_Rift	0.17777777777777778	0.8	0.4
Tezzeret_Artifice_Master	0.07692307692307693	1.0	0.7692307692307693
Thorn_Lieutenant	0.0	1.0	0.6875
Thornhide_Wolves	0.1506849315068493	0.2876712328767123	0.4315068493150685
Thud	0.09433962264150944	0.7169811320754716	0.1320754716981132
Timber_Gorge	0.40625	0.390625	0.46875
Titanic_Growth	0.21311475409836064	0.29508196721311475	0.39344262295081966
Tolarian_Scholar	0.4015151515151515	0.5606060606060606	0.6363636363636364
Tormenting_Voice	0.19642857142857142	0.44642857142857145	0.375
Totally_Lost	0.2	0.25925925925925924	0.4444444444444444
Tranquil_Expanse	0.34782608695652173	0.3333333333333333	0.5797101449275363
Transmogrifying_Wand	0.0975609756097561	1.0	0.7317073170731707
Trumpet_Blast	0.27167630057803466	0.5202312138728323	0.45664739884393063
Trusty_Packbeast	0.23204419889502761	0.3314917127071823	0.3425414364640884
Two-Headed_Zombie	0.20754716981132076	0.22641509433962265	0.37735849056603776
Uncomfortable_Chill	0.226890756302521	0.3949579831932773	0.4789915966386555
